Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Calculated_Revenue,Calculated_Profit,Profit_Per_Hectare,Cost_Per_Hectare,Revenue_Per_Hectare,Profit_Margin_Pct,Is_Profitable,NPK_Total_kg_ha,Water_Used_Per_Ha_m3
SF10001,Andhra Pradesh,0.0,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91.0,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810,-11852,237,5.485,55.3,30810.0,-11852,-22362.264150943396,80494.3396226415,58132.07547169811,-38.468029860434925,False,228.1,447.1698113207547
SF10002,Maharashtra,0.0,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32.0,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401,-451950,4953,0.396,49.9,40401.479999999996,-451950,-69211.33231240428,75398.31546707504,6186.98315467075,-1118.6604291972972,False,239.3,758.4992343032159
SF10003,Telangana,0.0,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466,-124744,1275,1.984,33.7,190465.99,-124744,-25667.489711934155,64858.02469135802,39190.534979423865,-65.4941039345605,False,287.9,262.34567901234567
SF10004,Telangana,0.0,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740,-95704,3834,2.16,50.6,200740.31999999998,-95704,-21267.555555555555,65876.44444444444,44608.88888888889,-47.67560027896781,False,309.7,852.0
SF10005,Karnataka,0.0,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69.0,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607,-144352,3287,2.829,32.3,193607.40000000002,-144352,-34287.88598574822,80275.29691211402,45987.410926365796,-74.559287629063,False,314.5,780.7600950118765
SF10006,Gujarat,0.0,Pulses,Zaid,5.46,356.0,33.6,49.0,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570,-32763,1093,3.596,57.1,269570.49,-32763,-6000.549450549451,55372.344322344325,49371.794871794875,-12.153800497087955,False,218.5,200.1831501831502
SF10007,Telangana,0.0,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102,-41239,2368,8.687,31.6,472102.07,-41239,-5072.447724477244,63141.57441574415,58069.12669126691,-8.735188582128437,False,295.0,291.26691266912667
SF10008,Tamil Nadu,0.0,Pulses,Kharif,5.34,860.2,29.0,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265,5065,1704,3.697,54.2,441264.6,5065,948.501872659176,81685.39325842696,82633.89513108614,1.1478363341756088,True,289.5,319.1011235955056
SF10009,Karnataka,0.0,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834,230705,5079,2.103,54.7,755834.28,230705,33052.29226361031,75233.3810888252,108285.67335243552,30.523236583694302,True,248.7,727.6504297994269
SF10010,Tamil Nadu,0.0,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907,1954835,5984,5.239,41.7,2958907.0500000003,1954835,142792.9145361578,73343.46238130023,216136.376917458,66.06611833356033,True,271.70000000000005,437.1073776479182
SF10011,Maharashtra,0.0,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70.0,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857,-148902,2371,2.855,33.5,140856.62,-148902,-31681.27659574468,61650.85106382979,29969.574468085106,-105.71146623880958,False,239.3,504.46808510638294
SF10012,Telangana,0.0,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097,-579415,7467,2.563,35.0,385096.8,-579415,-41180.881307746975,68550.95948827291,27370.07818052594,-150.45949462083578,False,217.2,530.7036247334755
SF10013,Punjab,0.0,Wheat,Rabi,6.04,431.5,24.1,59.8,9.0,8.23,27.0,162.3,60.1,113.0,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063,-293090,1411,1.283,49.6,42062.590000000004,-293090,-48524.834437086094,55488.90728476821,6964.07284768212,-696.7881511066734,False,335.4,233.60927152317882
SF10014,Gujarat,0.0,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880,143249,1556,8.843,50.6,995880.0,143249,13642.761904761905,81202.95238095238,94845.71428571429,14.384162750532193,True,239.8,148.1904761904762
SF10015,Punjab,0.0,Rice,Kharif,4.38,762.0,25.0,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809,28876,3404,4.271,43.6,315808.8,28876,6592.6940639269405,65509.817351598176,72102.51141552512,9.143501293503352,True,286.8,777.1689497716895
SF10016,Andhra Pradesh,0.0,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15.0,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641,-44486,1455,4.983,29.7,137641.25,-44486,-19684.07079646018,80587.16814159293,60903.09734513275,-32.32031153508039,False,209.0,643.8053097345133
